ffae4854-fa4d-4cd1-bf35-bade24e9377d | DefaultResourceGroup-WEU | DefaultWorkspace-ffae4854-fa4d-4cd1-bf35-bade24e9377d-WEU | Microsoft.OperationalInsights/workspaces
f3043d1f-3f0b-4745-9f67-8ef0c938dc09 | rg-gr-dev-01 | isdb-gr-function | Microsoft.Web/sites
f3043d1f-3f0b-4745-9f67-8ef0c938dc09 | rg-gr-dev-01 | isdb-test | Microsoft.Web/sites
f3043d1f-3f0b-4745-9f67-8ef0c938dc09 | rg-qrapi-dev-01 | ase-dev-isdb-uaen-qrapi01 | Microsoft.Web/sites
f3043d1f-3f0b-4745-9f67-8ef0c938dc09 | rg-spcorp-dev-01 | ase-dev-isdb-uaen-connectbackend01 | Microsoft.Web/sites
f3043d1f-3f0b-4745-9f67-8ef0c938dc09 | rg-spcorp-dev-01 | ase-uat-isdb-uaen-connectbackend01 | Microsoft.Web/sites
f3043d1f-3f0b-4745-9f67-8ef0c938dc09 | rg-pcrms-dev-01 | ase-dev-isdb-uaen-pcrmsapi01 | Microsoft.Web/sites
f3043d1f-3f0b-4745-9f67-8ef0c938dc09 | rg-pcrms-dev-01 | ase-dev-isdb-uaen-pcrmsui01 | Microsoft.Web/sites
f3043d1f-3f0b-4745-9f67-8ef0c938dc09 | rg-gr-dev-01 | isdb-gr-function-2 | Microsoft.Web/sites
f3043d1f-3f0b-4745-9f67-8ef0c938dc09 | rg-jira-apps-01 | jirafunctionappuae | Microsoft.Web/sites
f3043d1f-3f0b-4745-9f67-8ef0c938dc09 | rg-matchmaking-dev-01 | ase-dev-isdb-uaen-matchmakingui01 | Microsoft.Web/sites
f3043d1f-3f0b-4745-9f67-8ef0c938dc09 | rg-matchmaking-dev-01 | ase-dev-isdb-uaen-matchmakingapi01 | Microsoft.Web/sites
f3043d1f-3f0b-4745-9f67-8ef0c938dc09 | rg-generic_services | evat-test | Microsoft.Web/sites
